RegionID,RegionName,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04
33839,San Jose,CA,San Jose,Santa Clara,11,238200,238900,239700,240700,241700,243000,244400,246100,248200,250700,253300,256000,259300,262900,266900,271100,275300,279400,283400,287400,291400,295200,298800,302000,305200,308400,311600,314700,317600,320100,322200,324100,325900,328000,330000,332100,334800,338100,342400,347700,354000,361500,370200,379800,390600,402100,413600,424900,436100,446600,456200,464900,472500,478800,484000,487900,490600,492300,492800,492200,490800,488700,486300,483700,481000,478300,475800,473600,472300,472200,473700,476400,480300,484700,489400,493800,497500,500500,502900,504400,505100,505500,505700,505600,505000,504300,503900,504400,505800,508600,512700,517900,524300,531300,538700,546600,555100,564000,573300,582600,591900,601300,611300,621800,633000,644100,655000,665600,675800,685200,694000,701700,708000,713000,717000,720200,722800,724400,725000,724800,724200,724000,724400,724700,724900,725300,726200,727400,729300,731700,733600,734100,733300,731900,730500,728400,725400,721200,715700,709300,702500,695700,688400,679500,669000,658400,648100,638300,629600,621900,614400,607400,601400,595600,588500,578700,567400,556300,547600,542700,541300,541600,542900,545000,548700,552400,552600,553400,559000,564000,564400,563500,562900,562800,561500,557200,551500,546000,541000,538400,536400,535600,535400,534700,532700,530700,529900,530300,527500,523800,526700,535200,543400,550400,559300,569600,579800,587400,595600,604100,612700,620200,629000,637700,647800,661400,676700,687800,693700,697600,700500,704200,710100,717800,724100,728000,732100,736100,738700,742500,748100,753400,758400,764100,771200,780100,791000,799700,807500,819200,832700,842100,850000,857900,863600,866400,868700,873400,878700,882400,885600,889000,890800,892400,893800,896200,899800,905300,913600,923900,931600,937300,943500,952000,961900,975100,991700,1011300,1033400,1057900,1080900,1099400,1120300,1148700,1169000
20330,San Francisco,CA,San Francisco,San Francisco,13,264500,264500,264500,264600,264900,265600,266600,267900,269900,272300,274900,277600,280700,284000,287500,291100,294900,298700,302600,306500,310600,314800,318700,322600,326600,330600,334600,338400,342100,345300,348300,351000,353700,356400,359000,361800,365200,369300,374300,380500,387800,396200,405700,416300,427900,439800,451400,462200,472300,481200,488700,494800,499500,503100,506300,509200,512000,514500,516300,517500,518000,518100,518400,518800,519400,520200,521300,522800,524600,527000,530200,534400,539500,545600,552400,559300,565500,570600,574600,577500,579400,581100,583000,584700,585700,586400,587700,590100,594000,599600,607300,617000,628700,641500,654500,667500,680500,693300,705800,718100,729900,741200,752100,762100,771300,779600,786800,793200,799000,804000,808200,811500,813600,815000,815500,814500,811800,808000,803800,800100,797700,796800,797000,797500,797500,797000,796300,796100,797300,800500,805400,811400,817700,823300,828100,831400,832600,831700,828900,824600,819500,814100,809000,803600,797700,791200,784600,778000,771700,765600,759500,754000,749700,745900,741000,734200,726000,717600,711100,707500,706300,706800,708700,711800,717400,724400,726000,725100,726800,730600,730400,727100,722900,719800,716900,715300,711400,704000,697600,692200,685600,678800,672700,668400,666600,666800,668600,670800,671900,673400,678200,684200,689700,695600,704400,714500,724800,735300,746800,755400,762400,769500,778300,791200,808200,823800,837300,850500,862400,869500,871900,875300,883000,893100,902700,908700,915500,926100,937800,946700,954200,960900,969300,978400,984000,990600,1003400,1022600,1039800,1055900,1072200,1090000,1105200,1117900,1127100,1135300,1141600,1149000,1157100,1160700,1160000,1161000,1163300,1164300,1167600,1176500,1185800,1195500,1208600,1221800,1232100,1242200,1253500,1268800,1285300,1298700,1309900,1323300,1339200,1350100,1356300,1360400,1367100,1380700,1392800
13072,Oakland,CA,San Francisco,Alameda,42,150200,150000,149900,150000,150100,150400,150900,151500,152400,153500,154600,155400,156200,157000,157700,158400,159200,160000,160800,161800,163000,164400,165600,166500,167400,168200,169100,169900,170900,171900,173100,174300,175700,177200,178500,179700,180900,182500,184300,186600,189400,192900,197000,201800,207400,213800,220700,228000,235700,243200,250400,257000,262900,268100,272900,277300,281400,285300,288800,291800,294600,297200,299800,302500,305000,307500,309800,312100,314400,316900,319800,323100,327200,332000,337500,343300,349300,355000,360200,365000,369000,372100,374400,376600,378700,380600,382300,384100,386000,388500,391800,396000,401000,406600,412800,419600,426900,434500,442500,450900,459700,468600,477500,486300,495300,504300,513000,521800,530500,538500,545700,552000,556900,560900,563800,565700,567100,568400,569200,569600,569300,568200,566900,565900,565000,564400,563900,563400,563400,563800,563400,561900,559800,556900,553400,549400,543800,536900,529100,520800,512700,504800,495700,486200,477300,469100,461600,454600,447100,440100,433700,427400,421600,416300,409800,401900,393300,384600,376700,371400,368200,367400,368600,370900,372300,374100,375500,375600,375700,378700,380500,379200,377400,374200,370900,368500,364900,359300,356800,355600,353300,349400,347500,347100,347500,345400,341400,338400,337300,336400,336200,337400,339300,340900,342100,344800,349100,356300,364300,371000,377300,384200,391700,401300,414000,428300,441800,451200,457700,463500,469100,472600,474400,476600,479900,484400,489300,493100,496400,500500,504700,509500,515400,521200,526500,533000,540700,548400,556200,564900,574700,585400,597400,608600,614600,620100,627800,634600,639500,645800,652400,658500,661900,665600,668800,671800,674800,679300,686300,696500,704600,708600,713200,720000,728900,735600,739500,744900,754000,763500,773700,784400,793200,799700,801500
11540,Fremont,CA,San Francisco,Alameda,102,221400,221400,221400,221600,221800,222300,223100,224100,225500,227300,229100,231000,233000,235400,238200,241200,244400,247700,251100,254700,258600,262600,266100,269300,272200,274900,277200,279400,281500,283400,285200,287200,289300,291600,293800,295800,297800,300000,302800,306100,310300,315500,321700,328900,337300,346500,356200,366300,376800,387200,397300,406800,415600,423500,430700,437100,443100,448400,452800,456500,459300,461300,462400,462400,461400,459300,456300,452600,448500,445000,442300,440600,440200,441500,444400,448400,453100,458000,462900,467800,472200,475500,477800,479700,480700,480900,480800,480800,481400,483000,485900,489900,494700,500500,507000,514500,522900,532000,541700,552000,562600,573500,584900,596500,608800,621300,633600,646000,658300,669400,679000,686900,692900,697500,700500,702100,702900,703400,703400,702900,702000,700500,698800,697100,695200,693300,691300,689500,688800,689000,688800,687700,685800,682700,678800,674300,668700,662400,655200,647500,639900,632400,623500,613700,604700,596700,589500,583500,578400,574500,571200,568400,566400,565100,562100,557300,551700,545800,540200,536900,536100,537800,541200,545700,548800,552100,554600,555900,557300,562100,565200,563200,558700,553600,550500,547500,541900,533600,528800,525300,520600,514500,512600,514600,518500,518100,513500,510400,511400,512400,513400,515600,518100,520600,523600,529800,538700,551500,565100,575900,584400,593200,604200,619100,638700,659800,679100,692600,701300,707500,712900,715800,717500,721000,726500,733400,740000,745400,750200,755900,760200,764600,771900,780100,786500,793700,804900,817500,830000,843200,856500,867400,878400,889400,895200,900700,910200,920100,926100,930400,934800,940600,942900,945000,947500,948500,948600,950600,955300,964100,969800,969600,970900,977900,989100,996800,1001300,1009700,1023700,1040000,1058700,1075500,1090800,1109300,1121700
26967,Santa Rosa,CA,Santa Rosa,Sonoma,117,184900,184500,184200,183800,183400,183300,183200,183300,183700,184100,184500,184600,184900,185400,186000,186800,187800,189000,190400,191900,193900,196000,198200,200100,202000,203700,205300,206900,208400,209800,211400,213100,215100,217300,219500,221700,224300,227200,230400,234000,237800,241800,246100,250700,255800,261400,266800,272100,277200,282100,286700,290900,295000,298900,302700,306400,310300,314200,318000,321500,324900,328100,331100,333900,336500,338800,341000,343100,345000,346800,348400,349700,351000,352400,354300,356700,359700,363200,367200,371600,376100,380500,384900,389600,394200,398700,403100,407500,412000,416500,421200,425800,430600,435600,441000,447200,454200,461700,469900,478400,486700,494800,503000,511400,520400,529400,537900,546500,555200,563200,570200,575900,580100,583000,584800,585400,585000,584000,582500,581100,579700,577600,574700,571100,566500,561200,555600,549600,544000,539300,535000,531400,528600,525400,521300,516500,510500,503700,496500,488800,480900,472500,462900,452900,442800,432700,423200,415800,409900,404700,399400,394500,390200,386200,381800,377600,373500,368500,363900,361500,360900,360800,360800,360900,359500,358700,360000,359300,354700,352400,352300,350400,347700,345700,343800,342600,341500,338900,334100,329400,326600,324900,322500,319100,316800,314500,312500,310200,309600,310300,312400,314700,317500,320500,322600,323800,325500,329100,334800,341200,347000,352300,357900,365000,373200,380500,388500,397900,404800,409600,413800,416600,418300,421900,426600,430400,433100,435700,437600,440200,444600,448200,450300,453200,456300,458200,460600,464700,470400,477100,485100,493200,499000,501700,502600,504500,506600,509100,512200,516000,518900,521300,524200,527100,529700,534500,540200,544200,547800,551100,552400,555600,561600,566700,569900,572200,574900,578300,582300,586900,592800,598300,602500,606000,608300
18518,Hayward,CA,San Francisco,Alameda,146,167200,167100,167000,166900,166800,166800,166900,167100,167500,168200,168800,169300,169900,170700,171700,172800,174000,175300,176800,178400,180400,182400,184200,185600,187000,188200,189400,190600,191900,193100,194400,195600,197200,198800,200300,201700,203300,205100,207500,210500,214100,218500,223600,229300,236000,243200,250400,257600,264800,271600,277700,283100,287700,291400,294500,297100,299500,302000,304400,306700,309300,312000,314800,317600,320100,322200,324200,326000,327800,329700,331700,333900,336400,339300,342700,346200,349900,353400,356900,360200,363200,365800,368300,370900,373400,375600,377700,379800,382300,385300,389200,393600,398800,404300,410200,416600,423400,430500,438100,446200,454400,463000,471900,480900,490300,499600,508800,517900,527400,536400,544900,552300,558300,563100,566800,569200,571100,572900,574700,576500,578200,579800,581300,582200,582200,581800,581200,580300,579700,579700,579300,578000,576000,573200,569300,563500,555500,546300,536400,525800,515000,504100,491100,476000,459900,444300,429100,415500,403700,393600,383500,373500,363800,355100,345900,335400,324500,313600,303700,296600,292200,290400,290400,291200,292300,294000,294500,295400,298300,302800,305600,306300,306300,305600,305400,305100,302500,297000,294400,292900,290300,285900,284100,284300,285300,283300,279600,277800,278800,279600,280800,282700,284100,285000,286300,289100,292300,296800,302300,307500,311500,316300,321900,329800,341600,356100,369800,379500,386500,393100,398800,402100,404200,407600,412000,416900,422000,427200,431900,436600,440300,443200,446800,450700,453600,457400,463500,469000,472100,475900,481500,486900,492600,498500,501300,503500,507800,513200,517800,522300,527300,533600,537400,540500,543500,546800,549600,553200,558900,567600,573200,574600,577500,583900,591500,597000,602000,609400,619000,627800,637400,646400,654600,663900,669700
54626,Sunnyvale,CA,San Jose,Santa Clara,189,326700,328300,330100,331900,333700,335500,337600,340100,343200,346800,350800,355200,360300,366000,372300,378800,385400,391900,398000,403800,409500,415000,420000,424500,428900,433100,437100,440700,443800,446400,448400,449900,451200,452700,454100,455400,457200,460000,464100,469900,477300,486700,498000,511100,526200,542600,559500,576500,593600,609900,625000,638400,649700,658700,665900,671000,674000,675000,673700,670100,664400,657100,648700,639600,630400,621900,614500,608300,604000,601700,602000,604300,608300,613700,619900,626100,631900,636700,640700,643600,645000,644600,642800,640400,637100,633700,630800,629200,629000,630600,633900,638500,644500,651600,659500,668500,678600,689300,700400,711800,723000,734300,745800,757700,770300,783200,795800,807700,818200,826900,834600,841000,846000,849300,851200,852000,852000,851200,849800,848000,846100,845000,844900,845000,845400,846500,848300,850900,854600,858700,863000,866400,868800,871000,874300,877900,881400,883700,883900,882500,880300,877000,873100,868100,861600,855100,849800,844500,839200,834300,829800,826300,824300,822300,818500,811500,802100,792300,785400,782600,783500,786500,790300,795100,801300,812500,815900,816500,824400,833900,832900,831700,830900,829700,827400,823100,817300,809000,801600,798900,798200,801300,807600,810500,808800,808500,811200,813300,809400,805400,814600,832000,845800,854500,867000,882400,898900,911500,924600,938200,952400,963000,975300,989300,1006100,1027400,1048300,1062400,1070100,1077900,1086600,1097500,1109200,1123600,1136900,1146400,1155600,1163300,1170400,1185100,1211900,1240900,1263800,1284300,1310900,1339700,1367000,1390000,1414800,1448500,1484900,1509100,1524200,1534500,1537700,1534900,1531300,1533100,1538300,1542600,1545100,1545900,1544300,1541500,1537100,1533500,1535900,1548800,1569100,1592500,1610900,1623900,1636800,1656400,1681700,1713900,1750500,1790800,1835300,1882100,1923300,1955500,1990000,2038600,2074700
51518,Concord,CA,San Francisco,Contra Costa,238,172200,170700,169300,168000,166800,165800,165000,164300,163900,163800,163700,163600,163600,163800,164200,164900,165700,166700,168100,169700,171700,174000,176100,178000,179700,181300,182800,184100,185300,186600,187900,189200,190800,192600,194400,196100,198000,200200,202700,205300,208100,211000,214200,217600,221400,225500,229700,233900,238400,243300,248600,254300,260400,266800,273400,280200,287200,294300,301300,308000,314300,319800,324400,327900,330400,332200,333500,334400,335600,337200,339200,341500,344300,347900,352000,356400,361000,365700,370300,374900,379400,383400,387000,390600,394300,398200,402400,406700,410900,414800,418100,420800,423400,426700,431400,437700,445400,453900,463200,472600,481400,489800,498000,506000,514500,523800,533700,544000,553800,562600,570800,577100,581700,585400,588800,591400,592600,592500,591600,589600,585900,582000,578900,574500,569200,565700,565500,567700,570300,570600,568000,562500,555200,548900,544900,539700,532700,525100,517200,508600,499400,489600,479900,467500,450600,432900,417300,404600,395700,388800,381800,375000,368100,361300,355300,348900,341500,334700,330700,328700,328000,328000,328800,329700,332000,335800,335400,338300,350400,360200,357700,356200,355400,349600,341500,335800,329800,324400,321000,317100,312900,310600,309500,306400,303600,303400,302400,298800,295000,292200,292700,295400,296500,297100,300000,303000,306300,310900,316900,323500,330600,338100,346500,354400,362100,371100,382900,394200,403800,413200,422300,430500,438000,442700,445100,447100,448700,450500,453000,455900,459500,462600,465200,468200,472700,478800,485400,489600,492400,496700,503100,508500,512000,515000,519200,523800,527600,530500,532900,534700,536500,540100,544100,547700,551700,555800,559400,562800,566200,569900,574300,577400,578700,581000,585600,590100,591900,593000,595900,598900,601600,603700,606900,613300,619300
34520,Vallejo,CA,Vallejo,Solano,248,132900,132500,132100,131600,131200,130800,130600,130300,130300,130500,130600,130400,130200,130100,130100,130100,130200,130400,130700,131100,131800,132400,133000,133400,133800,134300,134900,135400,136100,136800,137500,138400,139500,140700,141900,143100,144400,145900,147600,149400,151300,153500,156000,158700,161800,165100,168400,171500,174600,177700,180900,184200,187700,191200,194800,198700,202900,207200,211700,216200,220800,225200,229400,233300,236700,239800,242500,244900,247100,249100,250900,252500,254300,256300,258600,261100,264000,267100,270600,274500,278700,283200,287700,292100,296600,300800,304900,308700,312300,315800,319600,323500,327800,332200,336800,341900,347600,353700,360200,367100,374100,381400,388900,396100,403100,409600,415600,421900,428900,436300,443700,450400,455600,459700,462900,465400,467800,470200,472400,474400,475800,476200,475300,472600,468300,463200,458000,452900,448800,445800,443600,441500,439400,437200,434300,430200,424700,418200,410800,401900,391100,378800,364800,349000,332100,316500,303000,292000,282600,273800,265200,257400,249800,242600,235200,227300,219200,211500,204500,198600,193900,189900,187100,185400,184500,184200,184200,184000,184000,183900,183200,182500,182300,181800,181200,180300,178300,174800,171600,170500,170300,169400,167900,165600,163400,162700,162100,160200,158300,157900,158800,160500,161300,161800,161800,162100,162800,163300,163600,164500,166600,169200,172200,175200,178500,183000,188100,194200,200700,207500,213800,218700,222900,227500,231100,233800,237300,241400,247100,252500,255900,256800,257800,260200,264200,267800,271400,275100,278800,283600,289000,292800,295100,298100,302300,306800,310500,312700,314100,315400,318300,322100,325600,328800,332300,335500,338900,342900,346100,350300,355000,358600,360300,362800,365300,369200,374300,378300,381500,386800,393700,399700,404400,409100,413100
13713,Santa Clara,CA,San Jose,Santa Clara,250,247800,248600,249400,250200,251200,252200,253400,254900,256900,259500,262300,265400,269100,273300,278000,283000,288000,292900,297600,302000,306300,310400,313900,316900,319800,322500,325100,327500,329700,331700,333500,335300,337200,339500,341900,344400,347400,351100,355900,361700,368600,376600,385900,396100,407600,419800,432000,443800,455400,466400,476700,486000,494400,501600,507600,512200,515400,517300,517600,516400,513800,510100,505900,501200,496200,491300,486800,482900,480000,478600,478800,480600,483500,487400,491700,496100,500000,503400,506200,508200,509100,509200,508900,508500,508000,507700,507900,508700,510400,513100,517100,522700,529700,537700,545900,554400,562800,571100,579100,587100,595300,603900,613300,623100,633400,643800,654000,664300,674500,683900,692900,700900,707400,712500,716400,719300,721500,722700,723100,722800,722200,722000,722300,722500,722400,722300,722400,722800,724000,725600,726900,727400,727000,726100,725700,725300,724200,722000,718200,713100,707800,702200,696200,689600,682200,674300,666500,658500,650900,644100,637400,631400,626600,621900,615600,607100,597000,586300,578500,576000,578000,581900,586400,591200,596600,603400,605800,604300,606600,610700,609500,606100,603000,599700,595900,590700,584300,577600,572400,572400,572900,573000,573300,572900,571300,570600,571100,572200,570300,567700,571700,579800,587700,597200,610400,624900,638500,648500,658800,668800,677300,683200,690400,698900,709800,723400,738100,747500,750800,753400,756200,760000,767300,778800,791000,800800,808600,813900,816900,821000,828200,836100,843800,852200,862200,874000,887600,900700,914800,933800,954300,971600,985100,995600,1002000,1006800,1013000,1021500,1028800,1034800,1043700,1052500,1058200,1062400,1065300,1066300,1068700,1075200,1085300,1098200,1107300,1113600,1121100,1134800,1152700,1176400,1206900,1244100,1284300,1326800,1365000,1394400,1427100,1469200,1497300
